"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"RADICO","Radico Khaitan Limited","EQ","18-JUN-2003","2","1","INE944F01028","2","4,542","340.10"
"RADIOCITY","Music Broadcast Limited","EQ","17-MAR-2017","2","1","INE919I01024","2","698.28","20.20"
"RAIN","Rain Industries Limited","EQ","03-MAR-2008","2","1","INE855B01025","2","2,837","84.35"
"RAJESHEXPO","Rajesh Exports Limited","EQ","09-FEB-2000","1","1","INE343B01030","1","20,238","685.35"
"RAJRAYON","Raj Rayon Industries Limited","BZ","04-JAN-2007","1","1","INE533D01024","1","1.73","0.05"
"RAJSREESUG","Rajshree Sugars & Chemicals Limited","EQ","29-MAR-1995","10","1","INE562B01019","10","39.43","14.00"
"RAJTV","Raj Television Network Limited","EQ","16-MAR-2007","5","1","INE952H01027","5","183.51","35.35"
"RALLIS","Rallis India Limited","EQ","01-APR-1999","1","1","INE613A01020","1","4,123","212.00"
"RAMANEWS","Shree Rama Newsprint Limited","EQ","20-SEP-2006","10","1","INE278B01020","10","188.09","12.75"
"RAMASTEEL","Rama Steel Tubes Limited","EQ","19-AUG-2015","5","1","INE230R01027","5","46.77","27.85"
"RAMCOCEM","The Ramco Cements Limited","EQ","09-APR-1997","1","1","INE331A01037","1","16,427","697.30"
"RAMCOIND","Ramco Industries Limited","EQ","06-NOV-1996","1","1","INE614A01028","1","1,427","164.70"
"RAMCOSYS","Ramco Systems Limited","EQ","12-APR-2000","10","1","INE246B01019","10","327.15","106.90"
"RAMKY","Ramky Infrastructure Limited","EQ","08-OCT-2010","10","1","INE874I01013","10","169.53","24.50"
"RAMSARUP","Ramsarup Industries Limited","BZ","09-JUL-2007","10","1","INE005D01015","10","0.53","0.15"
"RANASUG","Rana Sugars Limited","EQ","24-FEB-2005","10","1","INE625B01014","10","49.14","3.20"
"RANEENGINE","Rane Engine Valve Limited","EQ","24-JUN-2008","10","1","INE222J01013","10","106.83","159.00"
"RANEHOLDIN","Rane Holdings Limited","EQ","24-SEP-1997","10","1","INE384A01010","10","670.09","469.25"
"RATNAMANI","Ratnamani Metals & Tubes Limited","EQ","09-MAY-2006","2","1","INE703B01027","2","5,882","1,259"
"RAYMOND","Raymond Limited","EQ","18-OCT-1995","10","1","INE301A01014","10","2,676","413.50"
"RBL","Rane Brake Lining Limited","EQ","20-JUN-2008","10","1","INE244J01017","10","327.16","413.60"
"RBLBANK","RBL Bank Limited","EQ","31-AUG-2016","10","1","INE976G01028","10","11,519","226.55"
"RCF","Rashtriya Chemicals and Fertilizers Limited","EQ","07-JAN-1998","10","1","INE027A01015","10","1,867","33.85"
"RCOM","Reliance Communications Limited","EQ","06-MAR-2006","5","1","INE330H01018","5","262.73","0.95"
"RECLTD","REC Limited","EQ","12-MAR-2008","10","1","INE020B01018","10","20,707","104.85"
"REDINGTON","Redington (India) Limited","EQ","15-FEB-2007","2","1","INE891D01026","2","4,255","109.35"
"REFEX","Refex Industries Limited","EQ","03-DEC-2009","10","1","INE056I01017","10","75.39","48.70"
"RELAXO","Relaxo Footwears Limited","EQ","17-JUN-2011","1","1","INE131B01039","1","16,721","673.55"
"RELCAPITAL","Reliance Capital Limited","EQ","29-NOV-1995","10","1","INE013A01015","10","127.62","5.05"
"RELIANCE","Reliance Industries Limited","EQ","29-NOV-1995","10","1","INE002A01018","10","731,266","1,154"
"RELIGARE","Religare Enterprises Limited","EQ","21-NOV-2007","10","1","INE621H01010","10","814.39","31.55"
"RELINFRA","Reliance Infrastructure Limited","EQ","08-FEB-1995","10","1","INE036A01016","10","374.76","14.25"
"REMSONSIND","Remsons Industries Limited","EQ","31-JAN-1996","10","1","INE474C01015","10","35.69","62.50"
"RENUKA","Shree Renuka Sugars Limited","EQ","31-OCT-2005","1","1","INE087H01022","1","1,093","5.70"
"REPCOHOME","Repco Home Finance Limited","EQ","01-APR-2013","10","1","INE612J01015","10","1,620","259.00"
"REPRO","Repro India Limited","EQ","22-DEC-2005","10","1","INE461B01014","10","572.59","473.65"
"RESPONIND","Responsive Industries Limited","EQ","29-OCT-2010","1","1","INE688D01026","1","2,223","83.30"
"REVATHI","Revathi Equipment Limited","EQ","11-AUG-2005","10","1","INE617A01013","10","121.82","396.80"
"RGL","Renaissance Global Limited","EQ","12-DEC-2007","10","1","INE722H01016","10","660.78","350.00"
"RHFL","Reliance Home Finance Limited","EQ","22-SEP-2017","10","1","INE217K01011","10","58.21","1.20"
"RICOAUTO","Rico Auto Industries Limited","EQ","12-MAY-2003","1","1","INE209B01025","1","375.46","27.75"
"RIIL","Reliance Industrial Infrastructure Limited","EQ","29-NOV-1995","10","1","INE046A01015","10","372.74","246.85"
"RITES","RITES Limited","EQ","02-JUL-2018","10","1","INE320J01015","10","6,861","274.45"
"RKDL","Ravi Kumar Distilleries Limited","EQ","27-DEC-2010","10","1","INE722J01012","10","13.20","5.50"
"RKFORGE","Ramkrishna Forgings Limited","EQ","05-MAY-2004","10","1","INE399G01015","10","869.00","266.00"
"RMCL","Radha Madhav Corporation Limited","BE","26-NOV-2007","10","1","INE172H01014","10","31.04","3.40"
"RML","Rane (Madras) Limited","EQ","30-AUG-2005","10","1","INE050H01012","10","207.61","173.40"
"RNAVAL","Reliance Naval and Engineering Limited","EQ","09-OCT-2009","10","1","INE542F01012","10","106.95","1.45"
"ROHITFERRO","Rohit Ferro-Tech Limited","EQ","13-APR-2006","10","1","INE248H01012","10","3.98","0.35"
"ROHLTD","Royal Orchid Hotels Limited","EQ","06-FEB-2006","10","1","INE283H01019","10","141.24","51.50"
"ROLLT","Rollatainers Limited","EQ","22-NOV-2016","1","1","INE927A01040","1","37.52","1.50"
"ROLTA","Rolta India Limited","EQ","01-MAR-1995","10","1","INE293A01013","10","42.30","2.55"
"ROSSELLIND","Rossell India Limited","EQ","25-SEP-2012","2","1","INE847C01020","2","199.08","54.25"
"RPGLIFE","RPG Life Sciences Limited","EQ","10-JUN-2008","8","1","INE105J01010","8","362.29","219.05"
"RPOWER","Reliance Power Limited","EQ","11-FEB-2008","10","1","INE614G01033","10","420.77","1.50"
"RPPINFRA","R.P.P. Infra Projects Limited","EQ","06-DEC-2010","10","1","INE324L01013","10","96.28","42.60"
"RSSOFTWARE","R. S. Software (India) Limited","EQ","19-MAY-1999","5","1","INE165B01029","5","41.65","16.20"
"RSWM","RSWM Limited","EQ","15-FEB-1995","10","1","INE611A01016","10","188.52","80.05"
"RSYSTEMS","R Systems International Limited","EQ","26-APR-2006","1","1","INE411H01032","1","1,072","89.15"
"RTNPOWER","RattanIndia Power Limited","EQ","30-OCT-2009","10","1","INE399K01017","10","912.88","2.00"
"RUBYMILLS","The Ruby Mills Limited","EQ","29-MAR-1995","5","1","INE301D01026","5","250.47","149.80"
"RUCHI","Ruchi Soya Industries Limited","BE","24-JAN-2020","2","1","INE619A01035","2","2,578","87.15"
"RUCHINFRA","Ruchi Infrastructure Limited","BE","16-OCT-1996","1","1","INE413B01023","1","46.17","2.25"
"RUCHIRA","Ruchira Papers Limited","EQ","20-DEC-2006","10","1","INE803H01014","10","103.80","42.80"
"RUPA","Rupa & Company Limited","EQ","07-DEC-2011","1","1","INE895B01021","1","1,166","146.65"
"RUSHIL","Rushil Decor Limited","EQ","07-JUL-2011","10","1","INE573K01017","10","133.04","89.10"
"RVNL","Rail Vikas Nigam Limited","EQ","11-APR-2019","10","1","INE415G01027","10","3,732","17.90"
"SABEVENTS","Sab Events & Governance Now Media Limited","EQ","15-SEP-2016","10","1","INE860T01019","10","0.47","0.45"
"SABTN","Sri Adhikari Brothers Television Network Limited","EQ","16-NOV-2007","10","1","INE416A01036","10","4.54","1.30"
"SADBHAV","Sadbhav Engineering Limited","EQ","01-MAR-2006","1","1","INE226H01026","1","867.29","50.55"
"SADBHIN","Sadbhav Infrastructure Project Limited","EQ","16-SEP-2015","10","1","INE764L01010","10","600.54","17.05"
"SAFARI","Safari Industries (India) Limited","EQ","12-SEP-2019","2","1","INE429E01023","2","1,215","543.20"
"SAGARDEEP","Sagardeep Alloys Limited","BE","25-JAN-2019","10","1","INE976T01013","10","89.38","78.60"
"SAGCEM","Sagar Cements Limited","EQ","29-JAN-2007","10","1","INE229C01013","10","856.60","390.25"
"SAIL","Steel Authority of India Limited","EQ","06-JUL-1995","10","1","INE114A01011","10","11,875","28.75"
"SAKAR","Sakar Healthcare Limited","EQ","11-APR-2019","10","1","INE732S01012","10","88.42","59.10"
"SAKHTISUG","Sakthi Sugars Limited","EQ","06-SEP-1995","10","1","INE623A01011","10","82.01","6.90"
"SAKSOFT","Saksoft Limited","EQ","09-MAY-2005","10","1","INE667G01015","10","181.06","172.85"
"SAKUMA","Sakuma Exports Limited","EQ","08-MAR-2006","1","1","INE190H01024","1","104.50","4.90"
"SALASAR","Salasar Techno Engineering Limited","EQ","25-JUL-2017","10","1","INE170V01019","10","136.71","102.90"
"SALONA","Salona Cotspin Limited","EQ","16-JUN-2016","10","1","INE498E01010","10","23.67","45.00"
"SALSTEEL","S.A.L. Steel Limited","EQ","24-NOV-2004","10","1","INE658G01014","10","19.97","2.35"
"SALZERELEC","Salzer Electronics Limited","EQ","02-DEC-2015","10","1","INE457F01013","10","137.77","86.20"
"SAMBHAAV","Sambhaav Media Limited","EQ","05-JUN-1996","1","1","INE699B01027","1","34.40","1.80"
"SANCO","Sanco Industries Limited","EQ","22-NOV-2016","10","1","INE782L01012","10","10.28","10.00"
"SANDESH","The Sandesh Limited","EQ","26-NOV-2002","10","1","INE583B01015","10","378.58","500.10"
"SANDHAR","Sandhar Technologies Limited","EQ","02-APR-2018","10","1","INE278H01035","10","1,346","223.65"
"SANGAMIND","Sangam (India) Limited","EQ","17-JUL-1996","10","1","INE495C01010","10","187.25","47.50"
"SANGHIIND","Sanghi Industries Limited","EQ","10-MAY-1995","10","1","INE999B01013","10","716.61","28.55"
"SANGHVIFOR","Sanghvi Forging and Engineering Limited","EQ","23-MAY-2011","10","1","INE263L01013","10","21.59","14.50"
"SANGHVIMOV","Sanghvi Movers Limited","EQ","24-JAN-2007","2","1","INE989A01024","2","371.73","85.85"
"SANGINITA","Sanginita Chemicals Limited","EQ","15-JUL-2019","10","1","INE753W01010","10","201.17","116.50"
"SANOFI","Sanofi India Limited","EQ","19-MAY-2003","10","1","INE058A01010","10","16,885","7,332"
"SANWARIA","Sanwaria Consumer Limited","EQ","27-MAR-2006","1","1","INE890C01046","1","84.65","1.15"
"SARDAEN","Sarda Energy & Minerals Limited","EQ","03-DEC-2009","10","1","INE385C01013","10","539.48","149.65"
"SAREGAMA","Saregama India Limited","EQ","30-JUL-1997","10","1","INE979A01017","10","530.39","304.40"
"SARLAPOLY","Sarla Performance Fibers Limited","EQ","19-JAN-2007","1","1","INE453D01025","1","143.63","17.20"
"SASKEN","Sasken Technologies Limited","EQ","09-SEP-2005","10","1","INE231F01020","10","847.82","563.30"
"SASTASUNDR","Sastasundar Ventures Limited","EQ","05-OCT-2010","10","1","INE019J01013","10","201.20","63.25"
"SATHAISPAT","Sathavahana Ispat Limited","EQ","27-DEC-2006","10","1","INE176C01016","10","6.36","1.25"
"SATIA","Satia Industries Limited","EQ","17-JUL-2019","1","1","INE170E01023","1","898.00","89.80"
"SATIN","Satin Creditcare Network Limited","EQ","26-AUG-2015","10","1","INE836B01017","10","808.67","155.40"
"SBILIFE","SBI Life Insurance Company Limited","EQ","03-OCT-2017","10","1","INE123W01016","10","80,897","808.95"
"SBIN","State Bank of India","EQ","01-MAR-1995","1","1","INE062A01020","1","218,742","245.10"
"SCAPDVR","Stampede Capital Limited","EQ","10-OCT-2017","1","1","INE224E01036","1","0.86","0.15"
"SCHAEFFLER","Schaeffler India Limited","EQ","29-NOV-2000","10","1","INE513A01014","10","13,409","4,289"
"SCHAND","S Chand And Company Limited","EQ","09-MAY-2017","5","1","INE807K01035","5","206.35","59.00"
"SCHNEIDER","Schneider Electric Infrastructure Limited","EQ","20-MAR-2012","2","1","INE839M01018","2","1,981","82.85"
"SCI","Shipping Corporation Of India Limited","EQ","13-AUG-1997","10","1","INE109A01011","10","2,236","48.00"
"SDBL","Som Distilleries & Breweries Limited","BE","18-MAR-2014","10","1","INE480C01012","10","248.60","76.55"
"SEAMECLTD","Seamec Limited","EQ","28-JUN-1995","10","1","INE497B01018","10","839.66","330.25"
"SELAN","Selan Exploration Technology Limited","EQ","26-SEP-2006","10","1","INE818A01017","10","140.14","92.20"
"SELMCL","SEL Manufacturing Company Limited","EQ","21-AUG-2007","10","1","INE105I01012","10","18.22","0.55"
"SEPOWER","S.E. Power Limited","EQ","27-JUL-2012","10","1","INE735M01018","10","8.12","2.00"
"SEQUENT","Sequent Scientific Limited","EQ","10-MAR-2016","2","1","INE807F01027","2","1,865","75.10"
"SESHAPAPER","Seshasayee Paper and Boards Limited","EQ","29-MAR-1995","2","1","INE630A01024","2","792.14","125.60"
"SETCO","Setco Automotive Limited","EQ","01-JUL-2016","2","1","INE878E01021","2","97.65","7.30"
"SETUINFRA","Setubandhan Infrastructure Limited","EQ","04-OCT-2011","1","1","INE023M01027","1","8.80","0.70"
"SEYAIND","Seya Industries Limited","EQ","11-JUL-2019","10","1","INE573R01012","10","171.83","69.85"
"SEZAL","Sezal Glass Limited","BZ","22-NOV-2011","10","1","INE955I01036","10","5.20","1.55"
"SFL","Sheela Foam Limited","EQ","09-DEC-2016","5","1","INE916U01025","5","7,560","1,550"
"SGL","STL Global Limited","EQ","10-APR-2006","10","1","INE353H01010","10","17.02","6.20"
"SHAHALLOYS","Shah Alloys Limited","EQ","16-JUN-2005","10","1","INE640C01011","10","14.73","7.44"
"SHAKTIPUMP","Shakti Pumps (India) Limited","EQ","29-JAN-2015","10","1","INE908D01010","10","317.43","172.70"
"SHALBY","Shalby Limited","EQ","15-DEC-2017","10","1","INE597J01018","10","834.92","77.30"
"SHALPAINTS","Shalimar Paints Limited","EQ","03-MAR-2008","2","1","INE849C01026","2","428.16","78.85"
"SHANKARA","Shankara Building Products Limited","EQ","05-APR-2017","10","1","INE274V01019","10","930.54","407.25"
"SHANTIGEAR","Shanthi Gears Limited","EQ","17-JAN-1996","1","1","INE631A01022","1","593.78","77.40"
"SHARDACROP","Sharda Cropchem Limited","EQ","23-SEP-2014","10","1","INE221J01015","10","1,755","194.50"
"SHARDAMOTR","Sharda Motor Industries Limited","EQ","03-SEP-2015","10","1","INE597I01010","10","432.86","727.95"
"SHEMAROO","Shemaroo Entertainment Limited","EQ","01-OCT-2014","10","1","INE363M01019","10","120.15","44.20"
"SHIL","Somany Home Innovation Limited","EQ","26-DEC-2019","2","1","INE05AN01011","2","752.61","104.10"
"SHILPAMED","Shilpa Medicare Limited","EQ","03-DEC-2009","1","1","INE790G01031","1","3,372","413.55"
"SHIRPUR-G","Shirpur Gold Refinery Limited","EQ","21-MAR-2001","10","1","INE196B01016","10","23.17","7.95"
"SHIVAMAUTO","Shivam Autotech Limited","EQ","21-NOV-2006","2","1","INE637H01024","2","145.00","14.50"
"SHIVAMILLS","Shiva Mills Limited","EQ","26-FEB-2018","10","1","INE644Y01017","10","21.00","24.30"
"SHIVATEX","Shiva Texyarn Limited","EQ","26-DEC-2017","10","1","INE705C01020","10","97.22","75.00"
"SHK","S H Kelkar and Company Limited","EQ","16-NOV-2015","10","1","INE500L01026","10","1,290","91.25"
"SHOPERSTOP","Shoppers Stop Limited","EQ","23-MAY-2005","5","1","INE498B01024","5","3,118","354.35"
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd","EQ","28-JAN-2020","10","1","INE232A01011","10","429.06","30.35"
"SHREECEM","SHREE CEMENT LIMITED","EQ","26-APR-1995","10","1","INE070A01015","10","78,998","21,895"
"SHREEPUSHK","Shree Pushkar Chemicals & Fertilisers Limited","EQ","10-SEP-2015","10","1","INE712K01011","10","294.80","95.60"
"SHREERAMA","Shree Rama Multi-Tech Limited","EQ","13-MAR-2000","5","1","INE879A01019","5","30.14","4.75"
"SHRENIK","Shrenik Limited","EQ","02-AUG-2019","2","1","INE632X01022","2","184.62","18.10"
"SHREYANIND","Shreyans Industries Limited","EQ","06-NOV-1996","10","1","INE231C01019","10","109.87","79.50"
"SHREYAS","Shreyas Shipping & Logistics Limited","EQ","01-MAR-1995","10","1","INE757B01015","10","122.43","55.75"
"SHRIPISTON","Shriram Pistons & Rings Limited","BE","02-JUN-2016","10","1","INE526E01018","10","1,254","560.50"
"SHRIRAMCIT","Shriram City Union Finance Limited","EQ","04-APR-2005","10","1","INE722A01011","10","9,196","1,393"
"SHRIRAMEPC","Shriram EPC Limited","EQ","20-FEB-2008","10","1","INE964H01014","10","281.74","2.90"
"SHYAMCENT","Shyam Century Ferrous Limited","EQ","28-JUL-2015","1","1","INE979R01011","1","55.54","2.50"
"SHYAMTEL","Shyam Telecom Limited","EQ","06-NOV-2006","10","1","INE635A01023","10","8.45","7.50"
"SICAGEN","Sicagen India Limited","EQ","21-AUG-2008","10","1","INE176J01011","10","46.10","11.65"
"SICAL","Sical Logistics Limited","EQ","28-APR-1999","10","1","INE075B01012","10","48.86","8.35"
"SIEMENS","Siemens Limited","EQ","06-SEP-1995","2","1","INE003A01024","2","45,783","1,286"
"SIGIND","Signet Industries Limited","EQ","29-AUG-2018","10","1","INE529F01035","10","56.22","19.10"
"SIL","Standard Industries Limited","BE","27-JAN-2004","5","1","INE173A01025","5","63.04","9.80"
"SILINV","SIL Investments Limited","EQ","22-MAY-1996","10","1","INE923A01015","10","120.63","113.80"
"SIMBHALS","Simbhaoli Sugars Limited","EQ","14-MAR-2016","10","1","INE748T01016","10","21.47","5.20"
"SIMPLEXINF","Simplex Infrastructures Limited","EQ","09-MAR-2004","2","1","INE059B01024","2","211.14","36.95"
"SINTEX","Sintex Industries Limited","EQ","05-NOV-1998","1","1","INE429C01035","1","41.59","0.70"
"SIRCA","Sirca Paints India Limited","EQ","22-JUL-2019","10","1","INE792Z01011","10","753.48","274.95"
"SIS","Security and Intelligence Services (India) Limited","EQ","10-AUG-2017","5","1","INE285J01028","5","7,608","518.80"
"SITINET","Siti Networks Limited","EQ","10-JAN-2007","1","1","INE965H01011","1","52.32","0.60"
"SIYSIL","Siyaram Silk Mills Limited","EQ","29-JAN-2007","2","1","INE076B01028","2","821.87","175.35"
"SJVN","SJVN Limited","EQ","20-MAY-2010","10","1","INE002L01015","10","8,449","21.50"
"SKFINDIA","SKF India Limited","EQ","27-JAN-1999","10","1","INE640A01023","10","8,864","1,793"
"SKIL","SKIL Infrastructure Limited","EQ","09-OCT-1996","10","1","INE429F01012","10","71.47","3.30"
"SKIPPER","Skipper Limited","EQ","27-MAY-2015","1","1","INE439E01022","1","292.10","28.45"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","EQ","14-MAR-1997","10","1","INE411D01015","10","63.85","24.25"
"SMARTLINK","Smartlink Holdings Limited","EQ","11-APR-2001","2","1","INE178C01020","2","93.63","70.40"
"SMLISUZU","SML Isuzu Limited","EQ","29-AUG-2003","10","1","INE294B01019","10","577.64","399.20"
"SMPL","Splendid Metal Products Limited","BZ","09-MAR-2010","5","1","INE215G01021","5","3.01","0.10"
"SMSLIFE","SMS Lifesciences India Limited","EQ","17-AUG-2017","10","1","INE320X01016","10","69.66","230.40"
"SMSPHARMA","SMS Pharmaceuticals Limited","EQ","28-FEB-2007","1","1","INE812G01025","1","292.05","34.50"
"SNOWMAN","Snowman Logistics Limited","EQ","12-SEP-2014","10","1","INE734N01019","10","609.87","36.50"
"SOBHA","Sobha Limited","EQ","20-DEC-2006","10","1","INE671H01015","10","2,236","235.80"
"SOLARA","Solara Active Pharma Sciences Limited","EQ","27-JUN-2018","10","1","INE624Z01016","10","1,387","532.20"
"SOLARINDS","Solar Industries India Limited","EQ","03-APR-2006","2","1","INE343H01029","2","10,126","1,119"
"SOMANYCERA","Somany Ceramics Limited","EQ","22-NOV-1995","2","1","INE355A01028","2","976.40","158.85"
"SOMATEX","Soma Textiles & Industries Limited","EQ","14-AUG-1996","10","1","INE314C01013","10","6.44","1.95"
"SOMICONVEY","Somi Conveyor Beltings Limited","EQ","18-JUL-2016","10","1","INE323J01019","10","21.32","18.10"
"SONATSOFTW","Sonata Software Limited","EQ","28-JUL-1999","1","1","INE269A01021","1","3,098","294.45"
"SORILINFRA","SORIL Infra Resources Limited","EQ","06-DEC-2005","10","1","INE034H01016","10","275.15","87.35"
"SOTL","Savita Oil Technologies Limited","EQ","28-JUN-1995","10","1","INE035D01012","10","1,064","755.90"
"SOUTHBANK","The South Indian Bank Limited","EQ","08-DEC-1998","1","1","INE683A01023","1","1,430","7.90"
"SOUTHWEST","South West Pinnacle Exploration Limited","EQ","18-APR-2019","10","1","INE980Y01015","10","46.04","16.50"
"SPAL","S. P. Apparels Limited","EQ","12-AUG-2016","10","1","INE212I01016","10","307.41","119.65"
"SPANDANA","Spandana Sphoorty Financial Limited","EQ","19-AUG-2019","10","1","INE572J01011","10","6,452","1,004"
"SPARC","Sun Pharma Advanced Research Company Limited","EQ","18-JUL-2007","1","1","INE232I01014","1","3,515","134.15"
"SPCENET","Spacenet Enterprises India Limited","EQ","10-JAN-2017","1","1","INE970N01027","1","4.17","0.85"
"SPECIALITY","Speciality Restaurants Limited","EQ","30-MAY-2012","10","1","INE247M01014","10","198.88","42.35"
"SPENCERS","Spencer's Retail Limited","EQ","25-JAN-2019","5","1","INE020801028","5","621.56","78.15"
"SPENTEX","Spentex Industries Limited","BE","20-DEC-2006","10","1","INE376C01020","10","2.24","0.25"
"SPIC","Southern Petrochemicals Industries Corporation  Limited","EQ","10-JAN-1996","10","1","INE147A01011","10","307.50","15.10"
"SPICEJET","SPICEJET LTD","EQ","10-MAY-1995","10","100","INE285B01017","10","3,621","60.35"
"SPLIL","SPL Industries Limited","EQ","26-JUL-2005","10","1","INE978G01016","10","68.44","23.60"
"SPMLINFRA","SPML Infra Limited","EQ","14-FEB-1996","2","1","INE937A01023","2","25.84","7.05"
"SPTL","Sintex Plastics Technology Limited","EQ","08-AUG-2017","1","1","INE501W01021","1","41.02","0.65"
"SPYL","Shekhawati Poly-Yarn Limited","EQ","12-JAN-2011","1","1","INE268L01020","1","8.62","0.25"
"SREEL","Sreeleathers Limited","EQ","01-JAN-2014","10","1","INE099F01013","10","356.39","141.65"
"SREINFRA","SREI Infrastructure Finance Limited","EQ","20-DEC-1995","10","1","INE872A01014","10","306.88","6.10"
"SRF","SRF Limited","EQ","18-AUG-2003","10","1","INE647A01010","10","21,372","3,718"
"SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","EQ","08-MAY-2007","10","1","INE917H01012","10","176.88","103.05"
"SRIPIPES","Srikalahasthi Pipes Limited","EQ","28-AUG-2007","10","1","INE943C01027","10","808.58","173.15"
"SRTRANSFIN","Shriram Transport Finance Company Limited","EQ","11-DEC-1996","10","1","INE721A01013","10","22,419","988.15"
"SSWL","Steel Strips Wheels Limited","EQ","06-JUN-2005","10","1","INE802C01017","10","975.53","625.75"
"STAMPEDE","Stampede Capital Limited","EQ","25-JUL-2016","1","1","INE224E01028","1","9.16","0.40"
"STAR","Strides Pharma Science Limited","EQ","02-FEB-2000","10","1","INE939A01011","10","4,129","461.05"
"STARCEMENT","Star Cement Limited","EQ","16-JUN-2017","1","1","INE460H01021","1","3,318","80.45"
"STARPAPER","Star Paper Mills Limited","EQ","13-SEP-1995","10","1","INE733A01018","10","148.37","95.05"
"STCINDIA","The State Trading Corporation of India Limited","EQ","01-APR-2003","10","1","INE655A01013","10","230.40","38.40"
"STEELCITY","Steel City Securities Limited","EQ","27-JUN-2019","10","1","INE395H01011","10","33.24","22.00"
"STEELXIND","STEEL EXCHANGE INDIA LIMITED","EQ","20-JUL-2017","10","1","INE503B01013","10","151.59","19.95"
"STEL","Stel Holdings Limited","EQ","09-FEB-2011","10","1","INE577L01016","10","88.42","47.90"
"STERTOOLS","Sterling Tools Limited","EQ","02-FEB-2006","2","1","INE334A01023","2","731.11","202.95"
"STINDIA","STI India Limited","EQ","06-DEC-1995","10","1","INE090C01019","10","10.73","3.70"
"STRTECH","Sterlite Technologies Limited","EQ","08-DEC-2000","2","1","INE089C01029","2","3,387","83.85"
"SUBCAPCITY","International Constructions Limited","BE","10-JUL-1996","10","1","INE845C01016","10","1.89","5.20"
"SUBEX","Subex Limited","EQ","05-SEP-2003","10","1","INE754A01014","10","303.48","5.40"
"SUBROS","Subros Limited","EQ","13-JUL-2005","2","1","INE287B01021","2","1,274","195.25"
"SUDARSCHEM","Sudarshan Chemical Industries Limited","EQ","25-MAY-1995","2","1","INE659A01023","2","2,863","413.50"
"SUJANAUNI","Sujana Universal Industries Limited","BE","19-FEB-2008","10","1","INE216G01011","10","1.69","0.10"
"SUMEETINDS","Sumeet Industries Limited","EQ","10-DEC-2010","10","1","INE235C01010","10","19.69","1.90"
"SUMICHEM","Sumitomo Chemical India Limited","EQ","27-JAN-2020","10","1","INE258G01013","10","11,071","221.80"
"SUMIT","Sumit Woods Limited","BE","30-JUL-2019","10","1","INE748Z01013","10","42.82","14.00"
"SUMMITSEC","Summit Securities Limited","EQ","28-JAN-2011","10","1","INE519C01017","10","404.83","371.40"
"SUNCLAYLTD","Sundaram Clayton Limited","EQ","23-OCT-2012","5","1","INE105A01035","5","3,649","1,804"
"SUNDARAM","Sundaram Multi Pap Limited","EQ","02-JUN-2010","1","1","INE108E01023","1","43.46","1.60"
"SUNDARMFIN","Sundaram Finance Limited","EQ","07-JAN-1998","10","1","INE660A01013","10","16,111","1,450"
"SUNDARMHLD","Sundaram Finance Holdings Limited","EQ","26-MAR-2018","5","1","INE202Z01029","5","781.96","51.75"
"SUNDRMBRAK","Sundaram Brake Linings Limited","EQ","17-JUL-1996","10","1","INE073D01013","10","88.96","226.35"
"SUNDRMFAST","Sundram Fasteners Limited","EQ","07-JUN-2000","1","1","INE387A01021","1","8,275","393.85"
"SUNFLAG","Sunflag Iron And Steel Company Limited","EQ","29-SEP-2005","10","1","INE947A01014","10","602.83","33.45"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","EQ","08-FEB-1995","1","1","INE044A01036","1","92,602","385.95"
"SUNTECK","Sunteck Realty Limited","EQ","13-NOV-2009","1","1","INE805D01034","1","4,456","304.45"
"SUNTV","Sun TV Network Limited","EQ","24-APR-2006","5","1","INE424H01027","5","16,201","411.10"
"SUPERHOUSE","Superhouse Limited","EQ","26-SEP-2014","10","1","INE712B01010","10","76.29","69.20"
"SUPERSPIN","Super Spinning Mills Limited","EQ","08-JUL-2004","1","1","INE662A01027","1","15.68","2.85"
"SUPPETRO","Supreme Petrochem Limited","EQ","13-OCT-1999","10","1","INE663A01017","10","1,492","154.60"
"SUPRAJIT","Suprajit Engineering Limited","EQ","18-FEB-2005","1","1","INE399C01030","1","2,444","174.75"
"SUPREMEIND","Supreme Industries Limited","EQ","19-JUL-1995","2","1","INE195A01028","2","15,178","1,195"
"SUPREMEINF","Supreme Infrastructure India Limited","EQ","18-OCT-2007","10","1","INE550H01011","10","39.32","15.30"
"SURANASOL","Surana Solar Limited","EQ","07-JAN-2011","5","1","INE272L01022","5","28.54","5.80"
"SURANAT&P","Surana Telecom and Power Limited","EQ","22-MAY-2002","1","1","INE130B01031","1","42.09","3.10"
"SURYALAXMI","Suryalakshmi Cotton Mills Limited","EQ","15-JUN-2005","10","1","INE713B01026","10","30.76","18.45"
"SURYAROSNI","Surya Roshni Limited","EQ","10-MAY-1995","10","1","INE335A01012","10","648.01","119.10"
"SUTLEJTEX","Sutlej Textiles and Industries Limited","EQ","14-DEC-2006","1","1","INE645H01027","1","424.32","25.90"
"SUVEN","Suven Life Sciences Limited","EQ","23-OCT-2003","1","1","INE495B01038","1","552.41","43.40"
