"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"KANORICHEM","Kanoria Chemicals & Industries Limited","EQ","08-FEB-1995","5","1","INE138C01024","5","149.02","34.10"
"KANSAINER","Kansai Nerolac Paints Limited","EQ","15-SEP-2003","1","1","INE531A01024","1","25,642","475.80"
"KARDA","Karda Constructions Limited","EQ","02-APR-2018","10","1","INE278R01018","10","179.52","145.95"
"KARMAENG","Karma Energy Limited","EQ","28-JUN-2011","10","1","INE725L01011","10","14.46","12.50"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","26-JUL-2000","2","1","INE036D01028","2","2,882","36.05"
"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","EQ","14-DEC-2007","10","1","INE234I01010","10","1.39","0.40"
"KAYA","Kaya Limited","EQ","14-AUG-2015","10","1","INE587G01015","10","272.65","208.70"
"KCP","KCP Limited","EQ","09-APR-1997","1","1","INE805C01028","1","732.92","56.85"
"KCPSUGIND","KCP Sugar and Industries Corporation Limited","EQ","11-JUN-1997","1","1","INE790B01024","1","142.87","12.60"
"KDDL","KDDL Limited","EQ","23-MAR-2016","10","1","INE291D01011","10","263.29","226.00"
"KEC","KEC International Limited","EQ","10-MAR-2006","2","1","INE389H01022","2","8,001","311.20"
"KECL","Kirloskar Electric Company Limited","EQ","09-MAR-2010","10","1","INE134B01017","10","67.41","10.15"
"KEI","KEI Industries Limited","EQ","23-MAR-2006","2","1","INE878B01027","2","4,105","458.65"
"KELLTONTEC","Kellton Tech Solutions Limited","EQ","02-MAR-2016","5","1","INE164B01022","5","140.72","14.60"
"KENNAMET","Kennametal India Limited","EQ","03-NOV-1994","10","1","INE717A01029","10","1,890","860.05"
"KERNEX","Kernex Microsystems (India) Limited","BE","20-DEC-2005","10","1","INE202H01019","10","19.56","15.65"
"KESORAMIND","Kesoram Industries Limited","EQ","06-SEP-1995","10","1","INE087A01019","10","389.98","27.35"
"KEYFINSERV","Keynote Financial Services Limited","BE","26-JUN-1996","10","1","INE681C01015","10","25.90","36.90"
"KGL","Karuturi Global Limited","BZ","03-MAY-2007","1","1","INE299C01024","1","37.44","0.25"
"KHADIM","Khadim India Limited","EQ","14-NOV-2017","10","1","INE834I01025","10","180.24","100.30"
"KHANDSE","Khandwala Securities Limited","EQ","07-FEB-2001","10","1","INE060B01014","10","16.60","13.90"
"KICL","Kalyani Investment Company Limited","EQ","14-JAN-2011","10","1","INE029L01018","10","604.09","1,382"
"KILITCH","Kilitch Drugs (India) Limited","EQ","29-SEP-2010","10","1","INE729D01010","10","135.51","87.80"
"KINGFA","Kingfa Science & Technology (India) Limited","EQ","15-NOV-2016","10","1","INE473D01015","10","624.23","515.45"
"KIOCL","KIOCL Limited","EQ","29-NOV-2016","10","1","INE880L01014","10","5,125","82.40"
"KIRIINDUS","Kiri Industries Limited","EQ","22-APR-2008","10","1","INE415I01015","10","1,083","322.20"
"KIRLFER","Kirloskar Ferrous Industries Ltd","EQ","13-NOV-2019","5","1","INE884B01025","5","886.88","64.35"
"KIRLOSBROS","Kirloskar Brothers Limited","EQ","20-APR-2010","2","1","INE732A01036","2","982.29","123.70"
"KIRLOSENG","Kirloskar Oil Engines Limited","EQ","24-DEC-2010","2","1","INE146L01010","2","1,665","115.15"
"KIRLOSIND","Kirloskar Industries Limited","EQ","24-JUN-2010","10","1","INE250A01039","10","557.55","574.20"
"KITEX","Kitex Garments Limited","EQ","25-SEP-2012","1","1","INE602G01020","1","740.81","111.40"
"KKCL","Kewal Kiran Clothing Limited","EQ","13-APR-2006","10","1","INE401H01017","10","1,118","906.65"
"KMSUGAR","K.M.Sugar Mills Limited","EQ","31-MAY-2007","2","1","INE157H01023","2","53.82","5.85"
"KNRCON","KNR Constructions Limited","EQ","18-FEB-2008","2","1","INE634I01029","2","3,605","256.40"
"KOHINOOR","Kohinoor Foods Limited","BZ","20-OCT-1999","10","1","INE080B01012","10","20.02","5.40"
"KOKUYOCMLN","Kokuyo Camlin Limited","EQ","28-JUL-2008","1","1","INE760A01029","1","619.38","61.75"
"KOLTEPATIL","Kolte - Patil Developers Limited","EQ","13-DEC-2007","10","1","INE094I01018","10","1,567","206.70"
"KOPRAN","Kopran Limited","EQ","09-JUN-1999","10","1","INE082A01010","10","98.83","22.85"
"KOTAKBANK","Kotak Mahindra Bank Limited","EQ","20-DEC-1995","5","1","INE237A01028","5","303,948","1,589"
"KOTARISUG","Kothari Sugars And Chemicals Limited","EQ","13-DEC-2004","10","1","INE419A01022","10","75.43","9.10"
"KOTHARIPET","Kothari Petrochemicals Limited","EQ","02-NOV-1996","10","1","INE720A01015","10","70.62","12.00"
"KOTHARIPRO","Kothari Products Limited","EQ","03-JUN-1998","10","1","INE823A01017","10","131.46","44.05"
"KPITTECH","KPIT Technologies Limited","EQ","22-APR-2019","10","1","INE04I401011","10","2,131","77.75"
"KPRMILL","K.P.R. Mill Limited","EQ","28-AUG-2007","5","1","INE930H01023","5","3,902","567.05"
"KRBL","KRBL Limited","EQ","21-JAN-2002","1","1","INE001B01026","1","5,691","241.75"
"KREBSBIO","Krebs Biochemicals and Industries Limited","EQ","03-JAN-1996","10","1","INE268B01013","10","154.72","85.95"
"KRIDHANINF","Kridhan Infra Limited","EQ","11-DEC-2015","2","1","INE524L01026","2","15.64","1.65"
"KRISHANA","Krishana Phoschem Limited","BE","22-AUG-2019","10","1","INE506W01012","10","126.99","51.00"
"KSB","Ksb Limited","EQ","08-FEB-1995","10","1","INE999A01015","10","2,219","637.55"
"KSCL","Kaveri Seed Company Limited","EQ","04-OCT-2007","2","1","INE455I01029","2","2,454","406.85"
"KSERASERA","KSS Limited","EQ","05-OCT-2006","1","1","INE216D01026","1","10.68","0.05"
"KSK","KSK Energy Ventures Limited","EQ","14-JUL-2008","10","1","INE143H01015","10","14.84","0.35"
"KSL","Kalyani Steels Limited","EQ","19-MAY-2010","5","1","INE907A01026","5","783.92","179.55"
"KTKBANK","The Karnataka Bank Limited","EQ","10-MAY-2000","10","1","INE614B01018","10","1,756","62.15"
"KUANTUM","Kuantum Papers Limited","EQ","23-OCT-2019","10","1","INE529I01013","10","357.56","409.75"
"KWALITY","kwality limited","EQ","05-JUL-2011","1","1","INE775B01025","1","36.20","1.50"
"L&TFH","L&T Finance Holdings Limited","EQ","12-AUG-2011","10","1","INE498L01015","10","19,517","97.35"
"LAKPRE","Lakshmi Precision Screws Limited","BZ","26-SEP-2006","10","1","INE651C01018","10","1.64","1.50"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","21-JUN-2000","10","1","INE694C01018","10","491.60","14.60"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","EQ","23-DEC-2015","10","1","INE600L01024","10","13,544","1,625"
"LAMBODHARA","Lambodhara Textiles Limited","EQ","04-FEB-2015","5","1","INE112F01022","5","25.52","26.65"
"LAOPALA","La Opala RG Limited","EQ","16-MAR-2007","2","1","INE059D01020","2","2,264","203.95"
"LASA","Lasa Supergenerics Limited","BE","21-SEP-2017","10","1","INE670X01014","10","153.74","37.80"
"LAURUSLABS","Laurus Labs Limited","EQ","19-DEC-2016","10","1","INE947Q01010","10","4,415","412.90"
"LAXMIMACH","Lakshmi Machine Works Limited","EQ","29-MAR-1995","10","1","INE269B01029","10","3,063","2,868"
"LEMONTREE","Lemon Tree Hotels Limited","EQ","09-APR-2018","10","1","INE970X01018","10","3,640","45.95"
"LFIC","Lakshmi Finance & Industrial Corporation Limited","EQ","15-APR-2015","10","1","INE850E01012","10","14.36","47.85"
"LGBBROSLTD","LG Balakrishnan & Bros Limited","EQ","30-MAR-2010","10","1","INE337A01034","10","658.14","209.65"
"LGBFORGE","LGB Forge Limited","EQ","01-AUG-2008","1","1","INE201J01017","1","51.21","2.15"
"LIBAS","Libas Designs Limited","BE","23-JUL-2019","10","1","INE908V01012","10","58.80","48.00"
"LIBERTSHOE","Liberty Shoes Limited","EQ","27-SEP-1995","10","1","INE557B01019","10","161.37","94.70"
"LICHSGFIN","LIC Housing Finance Limited","EQ","29-JUL-1998","2","1","INE115A01026","2","14,562","288.55"
"LINCOLN","Lincoln Pharmaceuticals Limited","EQ","17-DEC-2015","10","1","INE405C01035","10","287.60","143.80"
"LINCPEN","Linc Pen & Plastics Limited","EQ","09-MAR-2015","10","1","INE802B01019","10","281.08","190.05"
"LINDEINDIA","Linde India Limited","EQ","16-JUN-1999","10","1","INE473A01011","10","4,791","561.85"
"LOKESHMACH","Lokesh Machines Limited","EQ","05-MAY-2006","10","1","INE397H01017","10","36.33","20.30"
"LOTUSEYE","Lotus Eye Hospital and Institute Limited","EQ","11-JUL-2008","10","1","INE947I01017","10","50.13","24.10"
"LOVABLE","Lovable Lingerie Limited","EQ","24-MAR-2011","10","1","INE597L01014","10","78.44","53.00"
"LPDC","Landmark Property Development Company Limited","EQ","12-AUG-2008","1","1","INE197J01017","1","11.40","0.85"
"LSIL","Lloyds Steels Industries Limited","EQ","18-JUL-2016","1","1","INE093R01011","1","35.95","0.40"
"LT","Larsen & Toubro Limited","EQ","23-JUN-2004","2","1","INE018A01030","2","156,791","1,117"
"LTI","Larsen & Toubro Infotech Limited","EQ","21-JUL-2016","1","1","INE214T01019","1","30,853","1,772"
"LTTS","L&T Technology Services Limited","EQ","23-SEP-2016","2","1","INE010V01017","2","16,045","1,536"
"LUMAXIND","Lumax Industries Limited","EQ","06-SEP-1995","10","1","INE162B01018","10","1,072","1,146"
"LUMAXTECH","Lumax Auto Technologies Limited","EQ","16-JAN-2007","2","1","INE872H01027","2","583.43","85.60"
"LUPIN","Lupin Limited","EQ","10-SEP-2001","2","1","INE326A01037","2","28,938","638.80"
"LUXIND","Lux Industries Limited","EQ","30-NOV-2015","2","1","INE150G01020","2","3,354","1,328"
"LYKALABS","Lyka Labs Limited","EQ","08-FEB-1995","10","1","INE933A01014","10","47.63","16.60"
"LYPSAGEMS","Lypsa Gems & Jewellery Limited","EQ","05-NOV-2013","10","1","INE142K01011","10","10.76","3.65"
"M&M","Mahindra & Mahindra Limited","EQ","03-JAN-1996","5","1","INE101A01026","5","56,143","451.60"
